ID,Cardhldr,default,Age,Income,Exp_Inc,Avgexp,Ownrent,Selfempl,Depndt,Inc_per,Cur_add,Major,Active
1,1.0000000,0.00,27.08333,2.400000,0.01679833000,33.0133300,0.0000000,0.0000000,0.0000000,2.4000000,56.0000000,1.0000000,1.0000000
2,1.0000000,1.00,24.25000,3.500000,0.06996286000,203.8917000,0.0000000,0.0000000,0.0000000,3.5000000,60.0000000,1.0000000,11.0000000
3,0.0000000,,27.41667,1.600000,0.00000000000,0.0000000,1.0000000,0.0000000,1.0000000,0.8000000,30.0000000,0.0000000,0.0000000
4,1.0000000,0.00,40.33333,3.067000,0.15969970000,408.0825000,0.0000000,0.0000000,2.0000000,1.0223330,18.0000000,0.0000000,0.0000000
5,1.0000000,0.00,28.16667,3.350000,0.07162478000,199.3692000,1.0000000,0.0000000,0.0000000,3.3500000,18.0000000,1.0000000,2.0000000
6,0.0000000,,34.25000,1.944000,0.00000000000,0.0000000,0.0000000,0.0000000,1.0000000,0.9720000,54.0000000,1.0000000,1.0000000
7,1.0000000,1.00,23.25000,1.876900,0.35362990000,553.1067000,0.0000000,0.0000000,0.0000000,1.8769000,12.0000000,1.0000000,3.0000000
8,1.0000000,0.00,20.25000,2.000000,0.20489700000,341.2450000,0.0000000,0.0000000,0.0000000,2.0000000,24.0000000,1.0000000,7.0000000
9,0.0000000,,22.66667,1.500000,0.00000000000,0.0000000,0.0000000,0.0000000,3.0000000,0.3750000,14.0000000,1.0000000,4.0000000
10,1.0000000,1.00,29.41667,2.100000,0.07229714000,126.1033000,1.0000000,0.0000000,3.0000000,0.5250000,90.0000000,0.0000000,5.0000000
11,1.0000000,0.00,30.08333,2.700000,0.01248148000,27.4166700,0.0000000,0.0000000,2.0000000,0.9000000,1.0000000,1.0000000,8.0000000
12,1.0000000,0.00,35.33333,3.000000,0.05401800000,135.0450000,0.0000000,0.0000000,1.0000000,1.5000000,6.0000000,1.0000000,8.0000000
13,0.0000000,,34.75000,2.670000,0.00000000000,0.0000000,0.0000000,0.0000000,0.0000000,2.6700000,51.0000000,1.0000000,25.0000000
14,1.0000000,0.00,31.25000,4.200000,0.04768381000,166.7267000,1.0000000,0.0000000,0.0000000,4.2000000,53.0000000,1.0000000,0.0000000
15,1.0000000,0.00,26.08333,2.375000,0.14285100000,282.7258000,0.0000000,1.0000000,1.0000000,1.1875000,114.0000000,1.0000000,1.0000000
16,0.0000000,,41.83333,3.500000,0.00000000000,0.0000000,0.0000000,0.0000000,0.0000000,3.5000000,54.0000000,1.0000000,0.0000000
17,0.0000000,,30.75000,2.315000,0.00000000000,0.0000000,0.0000000,0.0000000,1.0000000,1.1575000,17.0000000,1.0000000,8.0000000
18,0.0000000,,24.33333,4.100000,0.00000000000,0.0000000,0.0000000,0.0000000,1.0000000,2.0500000,5.0000000,0.0000000,4.0000000
19,0.0000000,,21.66667,3.840000,0.00000000000,0.0000000,0.0000000,1.0000000,1.0000000,1.9200000,12.0000000,0.0000000,1.0000000
20,1.0000000,1.00,56.75000,7.572000,0.00666930800,41.3333300,1.0000000,1.0000000,2.0000000,2.5240000,39.0000000,1.0000000,18.0000000
21,1.0000000,0.00,63.75000,6.000000,0.00183333300,8.3333330,0.0000000,0.0000000,0.0000000,6.0000000,50.0000000,1.0000000,14.0000000
22,1.0000000,0.00,29.00000,2.500000,0.52639560000,"1,096.6570000",0.0000000,0.0000000,0.0000000,2.5000000,12.0000000,1.0000000,14.0000000
23,1.0000000,0.00,45.08333,4.600000,0.07776695000,298.0233000,0.0000000,0.0000000,2.0000000,1.5333330,72.0000000,1.0000000,5.0000000
24,0.0000000,,35.91667,1.850000,0.00000000000,0.0000000,0.0000000,0.0000000,0.0000000,1.8500000,62.0000000,0.0000000,0.0000000
25,1.0000000,0.00,33.25000,2.420000,0.00521694200,9.8541670,0.0000000,0.0000000,3.0000000,0.6050000,34.0000000,1.0000000,13.0000000
26,0.0000000,,40.16667,3.709900,0.00000000000,0.0000000,0.0000000,0.0000000,2.0000000,1.2366330,15.0000000,1.0000000,11.0000000
27,1.0000000,0.00,25.16667,1.500000,0.08980467000,111.8392000,1.0000000,0.0000000,1.0000000,0.7500000,14.0000000,1.0000000,19.0000000
28,1.0000000,0.00,22.83333,2.000000,0.02298450000,37.9741700,0.0000000,0.0000000,0.0000000,2.0000000,25.0000000,1.0000000,11.0000000
29,1.0000000,0.00,35.58333,3.580000,0.05199190000,154.8592000,1.0000000,0.0000000,2.0000000,1.1933330,123.0000000,1.0000000,7.0000000
30,1.0000000,1.00,37.08333,3.000000,0.00366666700,8.3333330,0.0000000,0.0000000,0.0000000,3.0000000,60.0000000,1.0000000,9.0000000
31,1.0000000,0.00,28.08333,2.100000,0.09068000000,158.6067000,1.0000000,0.0000000,1.0000000,1.0500000,24.0000000,0.0000000,11.0000000
